Ticker Symbol,Security,GICS Sector,GICS Sub Industry,Current Price,Price Change,Volatility,ROE,Cash Ratio,Net Cash Flow,Net Income,Earnings Per Share,Estimated Shares Outstanding,P/E Ratio,P/B Ratio,Cluster
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,32.560001,-3.296694583,2.421529148,244,1,-9000000,-3362000000,-21.18,158734655.3,93.0892875,-0.138596074,0
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,32.0,-15.47807936,2.923697681,205,70,830000000,-14454000000,-35.55,406582278.5,93.0892875,1.785616438,0
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,7.11,-44.79813665,4.58004173,200,2,-38000000,-4556000000,-6.07,402141680.4,93.0892875,1.273529946,0
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,69.190002,29.49654127,3.794783234,174,198,-102075000,195290000,1.93,101186528.5,35.84974197,12.69571176,0
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,6.77,-31.6851665,3.796410036,155,5,-240000000,-12156000000,-11.31,1074801061.0,22.81195132,2.93542695,0
